Downloaded from wid.world on 02-10-2021 at 01:52:27
Percentile;Year;"sptinc_z_CN
Pre-tax national income 
Top 10% | share
China";"sptinc_z_ZA
Pre-tax national income 
Top 10% | share
South Africa";"sptinc_z_GB
Pre-tax national income 
Top 10% | share
United Kingdom";"sptinc_z_US
Pre-tax national income 
Top 10% | share
USA"
p90p100;1990;0.3085;0.471;0.3239;0.3864
p90p100;1991;0.3151;0.4911;0.3247;0.3843
p90p100;1992;0.3271;0.4871;0.3222;0.3947
p90p100;1993;0.3391;0.4627;0.3333;0.3912
p90p100;1994;0.3433;0.4735;0.342;0.3917
p90p100;1995;0.339;0.4844;0.3434;0.3996
p90p100;1996;0.339;0.4952;0.355;0.4088
p90p100;1997;0.3391;0.5052;0.354;0.4158
p90p100;1998;0.3425;0.5152;0.3635;0.42
p90p100;1999;0.3479;0.5251;0.3659;0.4231
p90p100;2000;0.3587;0.5349;0.3586;0.4286
p90p100;2001;0.3662;0.5466;0.3618;0.4201
p90p100;2002;0.3968;0.5584;0.3645;0.416
p90p100;2003;0.4051;0.5708;0.3758;0.4167
p90p100;2004;0.4121;0.5735;0.3702;0.4242
p90p100;2005;0.4216;0.5906;0.3815;0.4344
p90p100;2006;0.4237;0.6007;0.3849;0.4423
p90p100;2007;0.4269;0.6197;0.3857;0.442
p90p100;2008;0.4269;0.6006;0.3689;0.438
p90p100;2009;0.4263;0.5929;0.385;0.4259
p90p100;2010;0.4283;0.6143;0.3464;0.4388
p90p100;2011;0.4311;0.6243;0.3554;0.4447
p90p100;2012;0.4169;0.6544;0.3647;0.4555
p90p100;2013;0.4235;0.6542;0.3866;0.4506
p90p100;2014;0.4155;0.6541;0.3669;0.4567
p90p100;2015;0.4166;0.6541;0.356;0.4568
p90p100;2016;0.4166;0.6541;0.3562;0.4543
p90p100;2017;0.4166;0.6541;0.3592;0.4535
p90p100;2018;0.4166;0.6541;0.3593;0.4563
p90p100;2019;0.4166;0.6541;0.3564;0.4546
